step,train,val,lr,elapsed_sec
0,9.275266,9.274821,0.00000000e+00,8.0
10,9.267711,9.259364,1.50000000e-06,10.4
20,9.247673,9.241963,3.00000000e-06,12.1
30,9.195089,9.183997,4.50000000e-06,13.6
40,9.130795,9.128564,6.00000000e-06,15.0
50,9.045135,9.043648,7.50000000e-06,16.4
60,8.940134,8.929284,9.00000000e-06,17.7
70,8.826941,8.804503,1.05000000e-05,19.0
80,8.680256,8.655092,1.20000000e-05,20.2
90,8.498878,8.505457,1.35000000e-05,21.5
100,8.360550,8.334743,1.50000000e-05,22.7
110,8.158537,8.177814,1.65000000e-05,23.9
120,7.993816,7.951538,1.80000000e-05,25.1
130,7.865531,7.845331,1.95000000e-05,26.3
140,7.694984,7.668593,2.10000000e-05,27.5
150,7.507488,7.505123,2.25000000e-05,28.8
160,7.324939,7.318689,2.40000000e-05,30.0
170,7.172045,7.173999,2.55000000e-05,31.3
180,7.009190,6.989596,2.70000000e-05,32.6
190,6.839411,6.779436,2.85000000e-05,33.9
200,6.677300,6.596017,3.00000000e-05,35.2
210,6.415476,6.476524,3.15000000e-05,36.5
220,6.315889,6.250039,3.30000000e-05,37.8
230,6.053753,6.001523,3.45000000e-05,39.2
240,5.967045,5.991199,3.60000000e-05,40.5
250,5.684004,5.711709,3.75000000e-05,41.8
260,5.663165,5.717861,3.90000000e-05,43.0
270,5.371912,5.459439,4.05000000e-05,44.3
280,5.380799,5.258265,4.20000000e-05,45.6
290,5.202099,5.155316,4.35000000e-05,46.9
300,5.060960,5.108109,4.50000000e-05,48.2
310,4.968914,5.012744,4.65000000e-05,49.5
320,4.791613,4.925396,4.80000000e-05,50.7
330,4.813438,4.800570,4.95000000e-05,52.0
340,4.703248,4.659677,5.10000000e-05,53.2
350,4.669694,4.553749,5.25000000e-05,54.4
360,4.545260,4.581682,5.40000000e-05,55.7
370,4.318885,4.410384,5.55000000e-05,56.9
380,4.380994,4.371040,5.70000000e-05,58.1
390,4.394588,4.220706,5.85000000e-05,59.4
400,4.186777,4.251868,6.00000000e-05,60.6
410,4.282613,4.225624,6.15000000e-05,61.9
420,4.110123,4.166951,6.30000000e-05,63.2
430,3.968222,4.104047,6.45000000e-05,64.4
440,4.105137,4.040768,6.60000000e-05,65.6
450,4.102971,4.068960,6.75000000e-05,66.8
460,3.974608,4.094148,6.90000000e-05,68.0
470,3.957540,3.937930,7.05000000e-05,69.2
480,3.912083,3.840735,7.20000000e-05,70.4
490,3.725030,3.865460,7.35000000e-05,71.6
500,3.833876,3.827413,7.50000000e-05,72.8
510,4.000163,3.774613,7.65000000e-05,74.8
