step,train,val
0,6.9753,6.9684
10,6.9176,6.9024
20,6.7385,6.7513
30,6.5002,6.4426
40,6.164,6.042
50,5.8893,5.9627
60,5.5542,5.7858
70,5.6314,5.7
80,5.537,5.4939
90,5.4971,5.5127
100,5.4661,5.3586
110,5.5025,5.4406
120,5.3087,5.2876
130,4.9981,5.3314
140,5.1863,5.117
150,5.4414,4.9478
160,4.999,4.9562
170,5.1652,4.8807
180,4.9342,4.9775
190,4.6317,4.886
200,4.8546,4.6103
210,4.9422,4.8247
220,4.543,4.6929
230,4.4913,4.8472
240,4.7278,4.8423
250,4.3335,4.7402
260,4.8442,4.7265
270,4.2737,4.2165
280,4.329,4.1092
290,4.2876,4.4029
300,4.638,4.6763
310,4.6633,4.7635
320,4.2891,4.5107
330,4.2538,4.0715
340,4.4365,4.3526
350,4.415,4.3341
360,4.4243,4.4263
370,3.7289,4.0717
380,3.9314,4.3971
390,4.6412,4.2974
400,4.2429,4.0467
410,4.0971,4.4082
420,4.3528,4.1159
430,3.9372,4.3447
440,4.0741,4.3063
450,3.9735,4.1588
460,4.0683,3.9883
470,4.2912,3.7134
480,4.2944,4.0117
490,3.9698,4.1424
500,4.098,3.954
510,3.9439,4.1232
520,4.407,4.0268
530,3.9358,3.679
540,3.8954,3.8476
550,3.6995,4.1241
560,3.927,3.7392
570,3.8923,3.8999
580,3.8822,4.0843
590,4.1187,3.6916
600,3.8622,3.9898
610,4.1435,4.1667
620,3.5028,3.5961
630,3.7188,3.9247
640,3.885,4.026
650,3.9071,4.3649
660,3.9198,3.7213
670,3.6535,3.8988
680,3.8218,4.0833
690,3.6835,3.9867
700,3.7572,4.043
710,3.812,3.7548
720,4.082,3.6734
730,3.6598,3.8262
740,3.3185,3.6999
750,3.5356,3.6191
760,3.9124,3.9701
770,3.2322,3.8336
780,3.7613,3.8091
790,3.6579,3.9084
800,3.3669,4.0655
810,3.275,3.8301
820,3.8815,3.3161
830,3.8954,3.7378
840,3.4327,3.9729
850,4.0319,3.5965
860,3.7643,3.4658
870,3.4784,3.96
880,3.554,3.9617
890,3.6135,3.876
900,3.7415,3.5321
910,3.5057,3.8085
920,3.3963,3.7181
930,3.5959,3.4948
940,3.737,3.8205
950,3.7044,3.6579
960,4.0462,3.3147
970,3.8199,3.4463
980,3.3498,3.6681
990,3.525,3.8405
1000,3.6678,3.5754
1010,3.8106,3.6953
1020,3.3514,3.7679
1030,3.68,3.3843
1040,3.5428,3.4847
1050,3.818,3.9475
1060,4.0768,3.7235
1070,3.758,3.6944
1080,3.644,3.6868
1090,3.6198,3.5679
1100,3.5046,3.7499
1110,3.7778,3.1643
1120,3.3691,3.7842
1130,3.418,3.6507
1140,3.6085,3.5898
1150,3.8405,3.393
1160,3.133,3.6091
1170,3.4542,3.5392
1180,3.4229,3.705
1190,3.6395,3.377
1200,3.8939,3.4934
1210,3.3198,3.2599
1220,3.1991,3.5102
1230,3.5029,3.8091
1240,3.4232,3.4144
1250,3.4322,3.3686
1260,3.5183,3.6641
1270,3.4711,3.5533
1280,3.0887,3.2316
1290,3.6724,3.2887
1300,3.0711,3.5571
1310,3.5087,3.1804
1320,3.4815,3.5783
1330,3.2081,3.2752
1340,3.4144,3.557
1350,3.2938,3.338
1360,3.3705,3.1987
1370,3.6748,3.4126
1380,3.6949,3.2238
1390,3.3482,3.281
1400,3.2764,3.7323
1410,3.0428,3.3373
1420,3.7816,3.7049
1430,3.4165,3.4125
1440,3.1086,3.2981
1450,3.5114,3.4187
1460,3.6872,3.4756
1470,3.5951,3.2923
1480,3.5411,3.1234
1490,3.4664,3.6595
1500,3.6726,3.2194
1510,3.483,3.6432
1520,3.4044,3.5626
1530,3.6281,3.7653
1540,3.5223,3.7501
1550,3.3438,3.4203
1560,3.4019,3.3931
1570,3.456,3.5721
1580,3.527,3.7265
1590,3.2183,3.583
1600,3.3461,3.5353
1610,3.504,3.9361
1620,3.3351,3.2419
1630,2.9802,3.1105
1640,3.2336,3.6475
1650,3.8358,3.3241
1660,3.2606,3.5114
1670,3.2386,3.3481
1680,3.0588,3.1434
1690,3.1368,2.9064
1700,3.3213,3.5368
1710,3.6415,3.3521
1720,3.4093,3.6571
1730,3.5527,3.8957
1740,3.2983,3.1845
1750,3.4652,3.483
1760,3.3307,3.38
1770,3.529,3.3588
1780,3.5883,4.0003
1790,3.6791,3.271
1800,3.3944,3.6012
1810,3.5926,3.6741
1820,3.5078,3.3645
1830,3.3958,3.3889
1840,3.1206,3.8263
1850,3.4837,3.4625
1860,3.5687,3.4232
1870,3.4135,3.4576
1880,3.2937,3.2306
1890,3.2642,3.3735
1900,3.2429,3.3024
1910,3.1159,3.5429
1920,3.2215,3.3012
1930,3.2381,3.6624
1940,3.2139,3.3908
1950,3.1768,3.3248
1960,3.6736,3.5712
1970,3.3538,3.6177
1980,3.4788,3.374
1990,3.5804,3.4866
2000,3.4971,3.3345
2010,3.1995,3.3867
2020,3.2515,3.1215
2030,3.4005,3.6516
2040,3.3619,3.4656
2050,3.3547,3.3109
2060,3.188,3.7673
2070,3.4514,3.7591
2080,3.5978,3.5684
2090,3.2398,3.875
2100,3.3958,3.4047
2110,3.2628,2.8872
2120,3.2523,3.1474
2130,3.7795,3.553
2140,3.3334,3.212
2150,3.2988,3.5317
2160,3.0745,3.4359
2170,3.2082,2.9734
2180,3.1858,3.5003
2190,3.5929,3.5289
2200,3.026,3.6254
2210,3.3504,3.4803
2220,3.0367,3.5339
2230,3.1845,3.4961
2240,3.1025,3.6277
2250,3.4532,3.7404
2260,3.4599,3.1748
2270,3.3737,3.3836
2280,3.1715,3.1927
2290,3.224,3.6077
2300,3.4466,3.6448
2310,2.8728,3.4727
2320,3.5446,3.4206
2330,3.2107,3.3356
2340,2.988,3.1182
2350,3.4784,3.4333
2360,3.159,3.278
2370,3.3279,3.1511
2380,3.0128,3.3988
2390,3.4299,3.6273
2400,3.3166,3.2211
2410,3.6555,3.3826
2420,2.9686,3.4229
2430,3.1543,3.3848
2440,2.9546,3.6547
2450,3.2103,3.5039
2460,3.2919,3.365
2470,3.3762,3.5832
2480,3.189,2.9357
2490,3.3069,3.2103
2500,3.1513,3.463
2510,3.2987,3.2618
2520,3.4635,3.3515
2530,3.4116,3.2469
2540,3.3527,3.5304
2550,3.1167,3.432
2560,3.5646,3.2993
2570,3.4084,3.6227
2580,3.3123,3.3689
2590,3.583,3.3537
2600,2.8716,3.4817
2610,3.0195,3.234
2620,3.4023,3.3042
2630,3.2747,3.1192
2640,3.2872,3.4948
2650,3.2853,3.2091
2660,3.0735,3.3686
2670,3.3441,3.3371
2680,3.5243,3.0338
2690,3.3669,2.6885
2700,2.9883,3.4318
2710,3.0715,3.3294
2720,3.0767,3.0235
2730,2.7814,3.3131
2740,3.4043,3.7296
2750,3.28,3.507
2760,3.2952,3.5282
2770,3.2565,3.1168
2780,3.4211,3.6219
2790,3.2866,3.3278
2800,3.1406,3.3647
2810,3.3007,3.4588
2820,3.3583,3.1039
2830,3.0176,3.4481
2840,3.0486,3.0264
2850,3.1721,3.266
2860,3.4544,2.9793
2870,3.4499,3.6029
2880,3.611,3.5561
2890,3.1168,3.7305
2900,3.4422,3.3786
2910,3.3726,2.8838
2920,3.0469,3.5192
2930,3.3696,3.6172
2940,3.3938,3.5379
2950,3.0524,3.0902
2960,3.395,3.2975
2970,3.0175,3.1323
2980,3.4824,3.4256
2990,3.4944,2.9073
2999,3.3108,3.1918
